#Wavenumber,e1,e2
3,-1258.685313,617.8700213
6,-601.3042045,502.6157569
9,-291.172467,270.7148374
12,-193.736794,237.7704506
15,-126.0569656,162.9119001
18,-91.83059886,150.0133868
21,-67.37194685,114.3882354
24,-50.31904587,107.8899315
27,-39.30921408,87.39072955
30,-28.99444903,83.55685495
33,-23.4521282,70.37195564
36,-16.37063656,67.84579507
39,-13.4228623,58.73678003
42,-8.100018077,56.90139427
45,-6.384456828,50.24495269
48,-1.860100719,49.04593777
51,-1.056684656,44.37665248
54,2.668589138,43.57756972
57,2.889110126,40.08929891
60,6.190161181,39.68322564
63,5.869242399,37.15589576
66,8.741057789,37.15327065
69,7.641087991,35.13176464
72,10.28681253,34.98453457
75,9.108463907,33.17084675
78,12.30612981,33.51696104
81,10.42209653,32.90118627
84,13.49880488,34.84072131
87,5.626128521,34.28661523
90,8.445556812,27.95907339
93,11.57677829,27.80610661
96,13.88160549,30.02262016
99,11.76161893,30.91001212
102,13.75066177,32.97540919
105,9.543399144,35.94289284
108,0.906299416,45.59025092
111,-12.34969095,19.49663214
114,0.520542848,12.68187148
117,7.830497092,13.32998613
120,10.73694908,15.6927423
123,12.18548078,17.5767216
126,11.7574216,18.70662142
129,11.71276678,18.7555005
132,11.70450728,18.79710417
135,11.59598832,18.62124861
138,11.73014912,18.44364411
141,11.51609016,18.11338923
144,11.86004473,17.70354552
147,11.86996942,17.380538
150,12.42416612,17.19205168
153,12.28476397,17.0711613
156,12.82997466,16.90739533
159,12.59467409,16.86853224
162,13.13286897,16.71049481
165,12.82152533,16.68638207
168,13.42780278,16.49906021
171,13.14504556,16.50069151
174,13.94086246,16.43105659
177,13.52077938,16.62484782
180,14.46702801,16.5326554
183,14.05861014,16.94866681
186,15.34903629,16.94531171
189,15.14590686,17.83104973
192,17.89300628,18.61682839
195,17.25571915,24.02689915
198,16.38088189,29.3884265
201,-0.683055839,33.98658387
204,-4.769753788,19.33261276
207,-1.15461671,12.94594429
210,2.591692051,10.29649826
213,5.454935384,9.723940162
216,7.13604387,9.961079282
219,7.992561929,10.10649048
222,8.796558514,10.21970507
225,9.078081238,10.37997537
228,9.514362528,10.30938137
231,9.648280132,10.31535195
234,10.06275343,10.22938176
237,10.03218592,10.25452745
240,10.36775774,10.06743151
243,10.31201701,10.02120256
246,10.6915374,9.798757201
249,10.62494264,9.762498101
252,11.04404453,9.530174347
255,10.9534169,9.534143798
258,11.38426274,9.272162408
261,11.30838939,9.27199369
264,11.84793452,9.017082308
267,11.76603176,9.157881193
270,12.28154691,8.927474843
273,12.14393042,9.112521565
276,12.68294045,8.854766595
279,12.53062236,9.099718097
282,13.09163026,8.846685911
285,12.8854912,9.14191838
288,13.48463588,8.850513517
291,13.26864615,9.189625847
294,13.96152302,8.901109559
297,13.68601547,9.364961829
300,14.41276335,9.050563877
303,14.07108446,9.582420129
306,14.8847145,9.213961261
309,14.49335021,9.823594691
312,15.42891818,9.367116998
315,15.06726864,9.981123543
318,16.47794659,9.448720523
321,16.23107175,10.57296635
324,17.91945673,10.15553976
327,17.69342354,11.54448545
330,20.96135755,11.53977428
333,19.94653467,15.6787888
336,23.48857052,16.73869665
339,18.89086036,24.27842705
342,18.53465353,26.12786577
345,10.12669906,28.65797211
348,5.773672295,32.80706226
351,-3.809628185,20.07356287
354,0.758427234,19.85293794
357,-4.155171688,12.67581137
360,2.365890195,10.36051778
363,1.049011666,12.86341873
366,2.750824615,9.26440145
369,4.764021658,11.903744
372,1.332106146,12.95103197
375,-1.114474223,8.212734739
378,2.067661263,5.691429059
381,3.171554967,6.56789931
384,3.460711096,4.78819245
387,5.643101234,5.057385271
390,4.989983095,5.197827763
393,6.1413005,4.66145441
396,6.148823488,4.574078416
399,7.51555578,4.242586648
402,7.418495504,4.905362214
405,8.191445809,4.630382931
408,7.972152582,5.156406602
411,8.509989147,4.862116543
414,8.29121553,5.204310348
417,8.801895899,4.925064638
420,8.576152405,5.261316991
423,8.977447669,4.975653668
426,8.775857683,5.228871581
429,9.153636042,4.953745151
432,8.977222829,5.193307561
435,9.303963608,4.957950534
438,9.082308554,5.168457457
441,9.353837865,4.878643137
444,9.181324304,5.02572297
447,9.446899474,4.726867242
450,9.314362143,4.841427346
453,9.580554023,4.520631722
456,9.534989927,4.604260583
459,9.857481069,4.332890595
462,9.831703177,4.488495043
465,10.11641913,4.248609139
468,10.09139514,4.413156896
471,10.35829334,4.186431856
474,10.33806702,4.353838331
477,10.5983001,4.130307793
480,10.60464487,4.30649699
483,10.86213007,4.117101248
486,10.86271548,4.311941253
489,11.10854789,4.140362718
492,11.10526668,4.350132076
495,11.33963023,4.199603436
498,11.3192543,4.437083707
501,11.49864182,4.296015944
504,11.45908926,4.490492512
507,11.64687321,4.338694039
510,11.61375605,4.526865202
513,11.80127387,4.376964056
516,11.77339463,4.560866417
519,11.960037,4.413761265
522,11.93804883,4.592493053
525,12.1273365,4.446033145
528,12.11780646,4.622151689
531,12.30936594,4.482782967
534,12.30629177,4.653581123
537,12.50060397,4.511499453
540,12.51211369,4.664449151
543,12.71689559,4.505613079
546,12.77831814,4.583332514
549,13.16822301,4.406666417
552,13.37431777,4.668766785
555,13.74408231,4.667416349
558,13.87833062,5.040846161
561,14.1726652,5.086231984
564,14.27045536,5.464269149
567,14.56439834,5.544613996
570,14.63635691,5.958535266
573,14.90893541,6.055059029
576,14.9796614,6.448739681
579,15.31922492,6.481662466
582,15.6729407,6.877897224
585,16.27985623,7.217858317
588,16.7657447,8.003009386
591,17.41488033,8.908477362
594,17.66291349,10.30367637
597,17.92658599,11.72499377
600,17.82595419,13.96636205
603,16.23658829,16.11556971
606,14.99770189,17.50194297
609,11.95500069,18.85600867
612,11.8137232,18.35603284
615,8.78588348,22.79684997
618,4.480094976,22.15372778
621,-4.33129558,21.01580539
624,-3.890233537,12.1283802
627,-2.349772221,10.30583277
630,-1.522630453,8.366254401
633,-1.92397643,7.398107426
636,-1.017754419,4.380830352
639,0.77763224,3.429417469
642,1.900808465,2.91091677
645,3.122696701,2.757919619
648,3.142264625,3.212458407
651,3.223160792,2.185345263
654,4.154273234,1.713331051
657,4.574613567,1.60154497
