Wavenumber,e1,e2
3,3918.360776,11797.63155
6,595.9930789,7627.342678
9,-303.5362912,5193.403092
12,-500.2099719,3814.229235
15,-526.7873497,2932.144429
18,-485.2799554,2359.395201
21,-435.4907062,1947.607768
24,-380.6564915,1654.328328
27,-333.352583,1426.571331
30,-288.7221519,1254.511402
33,-251.4740572,1113.7145
36,-216.9669584,1003.226843
39,-188.1152064,909.3454404
42,-160.8508392,834.2431689
45,-138.4720099,768.5557421
48,-114.8788915,716.0057606
51,-98.9217387,673.6440453
54,-86.5164259,633.8786735
57,-73.21326752,598.6787586
60,-62.22415358,569.5555419
63,-51.6590765,544.2747464
66,-46.73304699,525.078493
69,-44.43240123,501.7363789
72,-39.98255839,481.3323649
75,-36.03744407,460.8236211
78,-30.56354838,444.7567207
81,-28.31141136,429.2327273
84,-24.61623159,414.444458
87,-21.39193481,401.4013981
90,-18.7946108,389.7322464
93,-15.49935747,377.9608414
96,-11.21442872,369.2359977
99,-5.703677882,363.8731704
102,-6.752307007,367.9611862
105,-19.24732016,364.9951351
108,-32.68170115,358.3835501
111,-50.81207405,336.7731503
114,-48.07419846,308.7790996
117,-39.92813412,293.3031618
120,-31.97843842,281.2062097
123,-22.76297611,276.2991443
126,-23.45895475,278.058233
129,-33.01671143,267.5714097
132,-29.87067506,250.3466004
135,-22.43701559,241.196078
138,-16.64704185,234.701822
141,-11.05537499,229.7859972
144,-5.914957024,227.3032933
147,-3.997683123,226.5005074
150,-4.003944982,223.678827
153,-3.368455032,219.9225449
156,-2.380521976,216.3362562
159,-1.359265151,212.9757443
162,-0.418237373,209.9552314
165,0.383189328,206.8919232
168,1.321152402,204.2894087
171,1.82660601,201.7264778
174,2.440223043,199.333501
177,2.936341913,196.8191779
180,3.921295028,194.7474959
183,5.283062348,193.0816207
186,6.783244981,194.3021809
189,4.006355387,196.3959119
192,-0.777860975,196.527835
195,-7.838561478,192.9922592
198,-10.6020773,185.4860772
201,-11.23972799,180.5677501
204,-12.2896563,175.2468082
207,-12.1001937,169.9086681
210,-11.08168007,165.0545619
213,-9.640636888,161.0029888
216,-7.947405965,157.5626429
219,-6.535235884,154.875898
222,-5.286600893,152.1356965
225,-3.85216069,149.7285095
228,-2.404717865,147.7260433
231,-1.334228621,146.1631404
234,-0.479888043,144.4274121
237,0.48790457,142.8595382
240,1.42421815,141.5730811
243,1.941582723,140.6308901
246,2.126613557,139.3842241
249,2.312307699,138.1591537
252,2.235650509,136.6534053
255,2.538768613,134.8711732
258,3.053026651,133.3345701
261,3.592813111,131.8614518
264,4.308820306,130.5881852
267,4.897965322,129.6237878
270,5.273274795,128.7101962
273,5.560036251,127.7327605
276,5.850127459,126.7742291
