#1/cm,e1,e2
,,
6712.99,-2.0004,5.9676
6666.71,-2.065,6.0463
6624.28,-2.1249,6.1198
6579.93,-2.1884,6.1981
6537.5,-2.2499,6.2742
6495.08,-2.3121,6.3517
6452.65,-2.3751,6.4307
6412.15,-2.436,6.5073
6369.73,-2.5006,6.589
6329.23,-2.563,6.6684
6290.66,-2.6231,6.7453
6250.16,-2.6871,6.8274
6211.59,-2.7487,6.9069
6173.02,-2.811,6.9879
6136.38,-2.8709,7.066
6097.81,-2.9347,7.1496
6061.17,-2.996,7.2304
6024.53,-3.058,7.3125
5989.82,-3.1174,7.3915
5953.18,-3.1808,7.4763
5918.47,-3.2416,7.5579
5883.75,-3.303,7.6409
5849.04,-3.3651,7.7251
5814.33,-3.4279,7.8107
5781.54,-3.4878,7.8929
5748.76,-3.5484,7.9763
5715.98,-3.6096,8.0609
5683.19,-3.6714,8.147
5650.41,-3.734,8.2343
5619.55,-3.7934,8.3178
5586.77,-3.8572,8.4078
5555.91,-3.9179,8.4939
5525.06,-3.9792,8.5812
5496.13,-4.0372,8.6643
5465.28,-4.0997,8.7542
5436.35,-4.1589,8.8397
5405.49,-4.2227,8.9323
5376.57,-4.283,9.0204
5347.64,-4.344,9.1097
5320.64,-4.4014,9.1943
5291.71,-4.4635,9.2862
5264.71,-4.5219,9.3732
5235.79,-4.5852,9.4677
5208.79,-4.6447,9.5572
5181.79,-4.7049,9.648
5154.79,-4.7655,9.74
5129.72,-4.8224,9.8265
5102.72,-4.8841,9.921
5077.65,-4.9419,10.01
5050.65,-5.0048,10.107
5025.58,-5.0636,10.198
5000.52,-5.1229,10.291
4975.44,-5.1828,10.385
4952.3,-5.2385,10.473
4927.23,-5.2993,10.569
4902.16,-5.3607,10.666
4879.02,-5.4178,10.758
4855.88,-5.4753,10.85
4832.74,-5.5333,10.943
4809.6,-5.5918,11.038
4786.46,-5.6507,11.134
4763.31,-5.7101,11.231
4740.17,-5.77,11.329
4717.03,-5.8303,11.429
4695.82,-5.886,11.521
4674.6,-5.9422,11.615
4651.46,-6.0038,11.718
4630.25,-6.0608,11.814
4609.04,-6.1182,11.911
4587.82,-6.176,12.009
4566.61,-6.2343,12.108
4547.33,-6.2876,12.2
4526.11,-6.3466,12.301
4504.9,-6.4061,12.404
4485.61,-6.4606,12.498
4464.4,-6.5208,12.604
4445.12,-6.576,12.7
